id,name,type,categories,price
612,Cartceivridge,physical,[41],129.11
613,Tweetwoofra,physical,[24],897.44
614,Relifigaar,physical,[33],1946.75
615,Mictectplscope,physical,[43],208.08
616,Playjector,physical,[31],719.16
617,Subtopentor,physical,[31],1978.82
618,Comceivicscope,physical,[25],566.32
619,Cabculplphone,physical,[34],914.28
620,Bibandor,physical,[33],318.69
621,Comleommridge,physical,[38],1302.94
622,Readplottlet,physical,[41],138.26
623,Biholdor,physical,[50],1175.69
624,Tweetjectentor,physical,[31],202.82
625,Subcessry,physical,[25],1918.49
626,Speakcordridge,physical,[46],1537.77
627,Tabtinicer,physical,[26],376.12
628,Comjectanentor,physical,[35],403.22
629,Cabniedgphone,physical,[44],1744.79
630,Anmutphone,physical,[46],710.37
631,Armculonor,physical,[32],463.46
632,Cleanceivridge,physical,[39],750.15
633,Ampjectentor,physical,[48],1571.4
634,Cleanfindar,physical,[42],1573.78
635,Monleicer,physical,[43],765.89
636,Prolictimor,physical,[44],1421.2
637,Chartinon,physical,[51],932.55
638,Readplotteper,physical,[30],1655.22
639,Protopicscope,physical,[36],1047.17
640,Tabculimra,physical,[46],788.29
641,Cleantopry,physical,[19],999.66
642,Telifilet,physical,[35],337.51
643,Ampcyclor,physical,[35],1335.26
644,Charcessicer,physical,[36],652.18
645,Playculor,physical,[26],1370.32
646,Tabtectlet,physical,[40],873.82
647,Chartinor,physical,[43],1775.51
648,Anmutaquer,physical,[38],1346.62
649,Cabmutadry,physical,[48],339.5
650,Transtinphone,physical,[37],477.11
651,Receivedor,physical,[48],1961.08
652,Cabbandentor,physical,[48],840.59
653,Renientor,physical,[36],674.72
654,Anculry,physical,[28],503.64
655,Miccordaquor,physical,[28],876.11
656,Tabcycloner,physical,[42],1756.97
657,Supputadon,physical,[40],708.24
658,Ampniscope,physical,[27],1919.69
659,Reputexor,physical,[43],1869.64
660,Protinscope,physical,[19],179.63
661,Commuter,physical,[25],1778.95
662,Readholdra,physical,[35],1337.54
663,Subcyclewor,physical,[28],1889.32
664,Tabculor,physical,[39],1732.51
665,Armcyclra,physical,[36],1184.46
666,Tabcessentor,physical,[34],922.56
667,Stereocycluper,physical,[47],1608.15
668,Ampniar,physical,[48],629.6
669,Tweettectinscope,physical,[33],1256.3
670,Cleantinor,physical,[24],1100.96
671,Contopplra,physical,[37],1232.18
672,Tweetputra,physical,[46],574.79
673,Tablifiar,physical,[35],1951.09
